Gene	FC	Length
Pklr	1.2121183	10642
Lyve1	1.2120838	12346
Nr2e1	1.2119797	21669
Slc12a5	1.2119521	38912
Iqca	1.2118024	111269
4930442J19Rik	1.2117984	14273
Prr24	1.2117902	1678
Ugt3a2	1.2116996	35405
Mobp	1.2116084	31742
Dnhd1	1.2115471	81237
Nes	1.2115035	9373
Havcr1	1.2112836	44498
Gjb1	1.2112526	9251
Rnf10	1.2112485	31486
Ankrd1	1.2111881	7879
Med17	1.2111661	19515
Adam18	1.2110677	72509
B4galt1	1.2109842	49403
Padi2	1.2108874	46242
Rps17	1.2107832	2522
Tcf3	1.2106446	24133
Fgf1	1.2106078	90731
1700003M02Rik	1.2105433	41647
Fut2	1.2105138	17799
BC030499	1.2105035	5964
Rab10	1.2104911	62539
Slc22a26	1.210469	21626
Hmga2	1.2104127	115194
Itgb7	1.2103648	15940
Sepw1	1.2103466	5194
Pm20d2	1.2102951	15507
Adam6a	1.2102672	2506
Ccrl2	1.210266	2435
Spn	1.2102411	5591
Tbccd1	1.2101934	44354
Ttll13	1.2100686	14445
Gm20395	1.2099556	10750
Gpr107	1.2099066	67232
9330161L09Rik	1.2097862	998
Krt36	1.2097645	3619
Fbxo21	1.2096155	33421
Eif5a2	1.2095249	17535
Gpkow	1.2095011	13131
Adnp2	1.2094904	25144
1700123O12Rik	1.2094512	317849
Lbp	1.2094464	26359
Gm17344	1.2094185	8471
Klf13	1.2093847	52564
Hes6	1.209348	2555
Abl1	1.2093275	115851
Slc2a9	1.2093143	153870
Nudt10	1.2092878	4319
Hoxb9	1.2092792	5138
Nubp1	1.2092487	12480
Gm626	1.2089764	26697
Rec8	1.2089537	7358
Anapc7	1.2087685	23219
Amh	1.2087369	2400
Dalrd3	1.2087281	2879
Omp	1.208656	2142
1810043G02Rik	1.2086248	8381
Gpx2	1.2085536	3219
Lrrc15	1.2084478	13954
Foxn1	1.2084286	28981
Defb42	1.2084209	11158
Agxt	1.208408	10162
Smc1b	1.2083286	67266
1190007I07Rik	1.2083235	3345
Arhgap25	1.2082505	74714
Myoc	1.2082479	10543
Ccnb1	1.208177	7920
Cwc22	1.2080597	65216
Hoxd3	1.2080101	36345
Tmem212	1.2079403	30302
Iqcb1	1.2079388	44336
Arhgap4	1.2079301	30428
Trim61	1.207853	5712
Tas1r2	1.2078313	16742
H2-Eb2	1.2077272	14564
Pappa	1.2076343	233335
D5Ertd579e	1.2076197	159826
4933434I20Rik	1.207598	33849
Klhl7	1.2075205	60633
Psmd8	1.207476	6485
Gtf2f2	1.20687	113928
Dmpk	1.2068617	9972
Tsen54	1.2068393	8370
D17Wsu92e	1.2068257	69326
Mrps11	1.206785	9870
Apon	1.2067847	1770
Slc43a1	1.2067614	24744
Chrna5	1.2067512	26899
Aire	1.2067142	13588
Srpk1	1.206709	34873
A730090H04Rik	1.2066251	13994
Zgpat	1.2065809	18700
Tgds	1.2065481	20854
Enpp3	1.2064965	62381
Il17a	1.2062092	3591
Aplf	1.2059015	43739
Dlc1	1.2058909	384685
Cep192	1.2058506	85061
Sephs2	1.2057949	1358
Nek11	1.2057885	233057
Dbh	1.2057087	17967
Trim34a	1.2056919	96236
Ppp1r8	1.2056504	16240
Gm12863	1.2055591	645
Usp25	1.2055422	102710
Ublcp1	1.2054472	15927
Trim75	1.2054348	5995
Dcst1	1.2053854	15034
Gt(ROSA)26Sor	1.2052389	9905
Nt5c2	1.2052389	128322
Tbc1d13	1.2052214	18267
Hdgfrp2	1.2050273	20962
Fxyd3	1.2050008	8532
Socs4	1.2047424	19167
Gm527	1.2047135	6680
1700106J16Rik	1.2046384	1218
BC048679	1.204576	4006
Bdkrb1	1.2045577	1337
Ly6c1	1.2045348	3813
Galnt6	1.2044511	37563
Itch	1.2044127	93346
Htra1	1.2043946	49549
Gm15622	1.2043793	3251
Polk	1.2043676	61796
Arhgef5	1.204318	23676
Wfdc3	1.2043114	14751
Nrarp	1.2041245	2572
Fbxo15	1.2040752	46218
Rgs10	1.2040719	45137
Krt4	1.2040318	6199
Apex1	1.2040042	2171
Klhl20	1.2040013	43136
Mettl2	1.2039925	13969
Ankrd33	1.20383	4267
Spaca3	1.20383	9449
Cited4	1.2037864	1257
Fgr	1.2037791	27815
Pitx1	1.2037307	11138
Trpm6	1.2037147	142527
Ctsl	1.2037055	7092
Spata17	1.2036828	170817
Mylpf	1.2035495	2690
Il34	1.2034154	64095
Tmem63a	1.203372	32768
Msx1	1.2032981	4098
Prelp	1.2032905	11110
1810064F22Rik	1.2032866	1205
4930423M02Rik	1.2032588	9956
Galnt11	1.2032127	43036
Spry1	1.2031748	4651
Map3k1	1.2031456	62565
Tnni1	1.2031283	27924
Wee2	1.2030808	23950
Zfp410	1.2030563	26609
Agxt2l1	1.2030001	18302
4921507G05Rik	1.202979	2775
Fpr-rs4	1.2029444	971
Acoxl	1.2029028	284997
Hsh2d	1.2028556	11327
Tmem180	1.2027913	34131
A330021E22Rik	1.2027639	84961
Slc4a9	1.202762	28104
Gm13075	1.2027218	12362
Mypop	1.2027066	10521
Zfp867	1.202674	11277
3000002C10Rik	1.2026529	4763
Zfp106	1.202583	57023
4930403O15Rik	1.2025274	2837
Asgr1	1.2024642	3809
Txk	1.2024107	56795
Tctn2	1.202393	28900
Ctbs	1.2023398	15379
Golph3l	1.2022187	30308
Sec14l1	1.2021776	44100
Lpar1	1.2021341	118643
Prss8	1.2019542	4388
Gm16499	1.2017835	65
Vcp	1.2017542	20544
Itga5	1.2017529	22474
Lrriq3	1.2017403	100844
Sh3bgr	1.2017351	28463
Aldoa	1.2016909	5517
Tspy-ps	1.201474	3104
Scin	1.201458	74459
Mmp15	1.2014548	22025
Pak4	1.2013603	39366
Pvrl1	1.2013363	62878
1700051A21Rik	1.2013133	2154
Tnk1	1.2013093	8167
Slc6a6	1.2013093	74996
Zfp938	1.2013087	16430
Speer7-ps1	1.2012591	33886
Rnasek	1.2011617	4636
Mettl21a	1.2011445	10769
D830046C22Rik	1.2010521	1039
D8Ertd738e	1.2009028	3524
Fam159b	1.2008854	18610
Rpl39	1.2008128	2882
Eya3	1.2007958	85778
1700082M22Rik	1.2007701	16780
Scn11a	1.2005693	71693
Zfp516	1.2005618	94435
Six2	1.2003167	4006
Trim34a	1.2003138	96236
Ucp3	1.2003098	13442
Tlx2	1.2002994	1976
Ctif	1.2002277	266472
Pkdrej	1.20019	7057
Naaa	1.2001439	20511
Gpx5	1.2001297	6302
Zswim3	1.2001199	17032
Ldb1	1.1999425	12621
Ovol1	1.1999047	11438
Cdca2	1.1998523	39510
Ppp4r2	1.1998401	35079
Kif24	1.1997885	74142
Prima1	1.1997484	45242
4930533B01Rik	1.1997436	17497
Dclre1c	1.1997228	39999
9130023H24Rik	1.1996825	3580
Ndufb9	1.1996808	5679
Olfr544	1.1996437	4200
Fam71f1	1.1995068	16881
A730011C13Rik	1.1994946	2940
Ryk	1.1994553	73388
Slc8a3	1.1994008	135265
Sec24a	1.1993951	71371
Hs6st3	1.1993601	731179
Zpbp	1.1992766	182782
Eif3d	1.1992403	11826
Mpst	1.1991473	7290
Aftph	1.1991392	56505
Itpr2	1.1990812	393924
4930438A08Rik	1.1990508	19490
Kremen1	1.1989802	70006
Alad	1.1989464	10749
Sox7	1.1989377	7058
4930465A12Rik	1.1989189	30736
Cdca7l	1.1988643	74417
Hsf4	1.1988351	6044
Tti2	1.1986005	14386
Gpr124	1.1985937	37577
Gsdmd	1.1985652	5065
Cbx3	1.1985312	13344
Il12rb2	1.1984818	84870
Spire1	1.1981981	122580
Thnsl2	1.1981006	16180
Clec18a	1.1979679	12590
Psme3	1.1979563	7324
Nudt4	1.1979328	17160
Zfp526	1.197887	6056
Pla2g3	1.1978356	11123
Bnc2	1.1977948	402733
Prr14	1.1977911	17148
Glb1	1.1977583	73301
A1cf	1.1977041	80645
Zfp956	1.1976931	11910
Ptar1	1.1976572	33729
Dync1li1	1.1976287	35512
Adam8	1.1975605	13630
Ppib	1.1974683	6460
Efcab4a	1.1974522	5519
Twsg1	1.1974101	28121
Dpy19l4	1.1974006	60822
Kpna7	1.1973433	100511
Nkx6-1	1.1973306	7087
Ryr1	1.1972944	121811
Cyp2d26	1.1972747	4138
Tdp1	1.197271	70702
Mrgpra1	1.1972215	19365
Polrmt	1.1971935	10458
Itgav	1.1971326	82519
Tgm2	1.197107	30034
Cab39	1.1970655	58135
Ern2	1.1970448	16323
Wnt10b	1.1970203	6397
Asb2	1.1970059	34859
Cldn4	1.19696	1808
Rad54l2	1.1969507	101131
Cdk20	1.1968901	7178
Tctex1d4	1.1968809	1944
Ms4a1	1.1968735	16015
Oas2	1.1968701	19520
N4bp1	1.1967835	44119
Ptplad1	1.1966256	34732
Sox14	1.1966224	2019
Clk4	1.1965075	20036
Myo18b	1.1964608	207486
Rnf2	1.196454	31417
Meox1	1.196416	16864
Gm9873	1.1963942	1096
4933415D12Rik	1.1963626	1870
Mterfd2	1.1961701	6704
H1foo	1.1961614	5298
Scnn1b	1.196061	53438
Sdcbp	1.196059	42773
Prrc2b	1.1960286	83455
Rasal3	1.1959966	12924
4930578G10Rik	1.1959411	110043
Kbtbd13	1.1959047	1515
Fkbp4	1.1959026	8942
Cdk2	1.1958025	7112
Calu	1.1957089	29041
Hoxb13	1.1956804	3131
Tssk5	1.195649	2980
1600029D21Rik	1.1955383	11114
Map6d1	1.1955366	8048
Apol7a	1.1955214	10893
Pde6g	1.1954696	5895
F2rl2	1.1952951	5886
Lgals12	1.1952876	10533
9330175E14Rik	1.1952825	12206
Gspt2	1.1951047	7175
Asgr2	1.195037	13543
Cstf3	1.1950196	74906
Stard13	1.1949748	196208
Ip6k1	1.194964	46279
Fadd	1.1949345	5145
Ace	1.1949247	22019
Vgll2	1.1949242	5969
Rnf25	1.1949106	7649
Rplp0	1.1948311	4260
Crygf	1.1948227	1785
Slc17a2	1.1947982	18187
Secisbp2	1.1947887	32347
1700029P11Rik	1.1947618	1018
Cldn13	1.1947386	1277
Serpina1b	1.1946894	10002
Lat	1.194615	5711
Slc30a6	1.1945921	28597
Pgbd5	1.1945037	70609
Insl3	1.194331	1361
Slc46a3	1.1942713	16378
Mageh1	1.1942507	1397
Hhip	1.1942285	91891
Aldh2	1.1941742	27797
Fitm1	1.1941025	1335
Lhx3	1.1940562	8077
Fbxo10	1.1939797	50357
Dopey1	1.1938051	88652
Rab26	1.1937897	6969
Ceacam2	1.1936225	23962
Prrt3	1.193591	7798
Sstr5	1.1935471	7378
Slc16a6	1.1934526	22743
Ly6g6c	1.1933634	4237
Rnpepl1	1.1932758	9433
Asah2	1.1932563	76815
Bcl6	1.1932482	23800
Plek	1.1932153	81175
Cd209f	1.1931993	3056
Ccdc79	1.1931804	63191
Otop2	1.1931667	25140
Bmp15	1.1931633	6614
4930548H24Rik	1.1929222	2617
Krtap10-4	1.1929135	665
Sult1a1	1.1928933	3567
Cuta	1.1928251	1505
Gm5617	1.1926997	619
Gabpb2	1.1926626	36176
Chrac1	1.1926183	7162
C2cd4b	1.1924093	1492
Lnx2	1.1923635	59931
A630001G21Rik	1.1923542	61560
Dmrt1	1.1922761	98711
Tcp10a	1.192245	21328
D230025D16Rik	1.1922224	27908
Chrna2	1.1921229	11988
Phlpp2	1.1921229	76129
Icos	1.1921043	22393
Slc45a2	1.1919967	28512
Rassf10	1.1919677	1426
Dhx29	1.1917609	41701
Sco2	1.1915605	767
Cdcp1	1.1914934	45214
Zbtb49	1.191464	30722
Itpa	1.19144	14004
Upk2	1.1912689	2051
Gm16136	1.1911107	1388
A730035I17Rik	1.1910913	688
Abca3	1.1909822	58251
Shc1	1.1908537	11572
Clrn3	1.1906503	17188
Osm	1.1906033	4606
Slc16a5	1.1905901	11924
D5Ertd579e	1.1905123	159826
2610021A01Rik	1.1902863	29272
Fev	1.1902322	3910
Ighg1	1.1902158	1547
Foxl2os	1.1901566	6155
Gm9780	1.1901095	15366
Pacs1	1.1901028	139431
Dennd5b	1.1900278	113609
Acad10	1.189959	39488
Ceacam1	1.1898955	15923
Slc25a34	1.1898926	4997
4930412L05Rik	1.1897153	12791
Zcchc5	1.189569	3562
Prss21	1.1895344	5058
Sds	1.1895226	7401
Setd4	1.1894782	20606
Aqp3	1.1894763	5461
Kank4	1.1894463	62639
Cript	1.1894281	10260
Hif3a	1.1893574	30920
1700018F24Rik	1.1893322	2688
Ylpm1	1.1893315	74194
Morc2a	1.1893038	40983
Nfatc3	1.1892561	71697
1700001L05Rik	1.1892158	9717
Gas2l2	1.1891441	7553
Dpt	1.1891074	27534
H2-DMa	1.1890552	3919
Chat	1.1890409	57706
Dhh	1.1890357	5509
Ttc21a	1.1890254	30187
Clcnka	1.188841	14114
Cdkn1a	1.1887796	9743
Spry4	1.1887738	15000
Klk1	1.1887679	4180
Gldc	1.1887441	76969
Lrrc20	1.1886489	106393
Arhgap30	1.1886255	21344
Pdcd7	1.1886162	13575
Dkk1	1.1885968	3802
Atf4	1.1885324	2356
Ddx42	1.1883438	32213
Gm11827	1.1883248	4193
Ephx3	1.1883224	5779
Tigd5	1.1883097	1915
Cyp2c55	1.1882747	35674
T2	1.1882684	50332
Leng8	1.1881988	11134
Runx1	1.1881791	224599
4933433C11Rik	1.1881202	2430
Rfc5	1.1880869	10944
Zfp40	1.1880205	19383
Pgam1	1.1879553	6793
Lins	1.1879406	27365
Large	1.1879231	538941
Ndufb2	1.1878761	10808
Col6a4	1.1877817	107329
Cenpn	1.1877335	19763
Lipt2	1.1877258	2088
Frs2	1.187716	78345
Cypt3	1.1877133	836
Slc23a2	1.1876354	92612
Evx1	1.1876101	4880
1810019D21Rik	1.1875803	3125
Scara5	1.1874143	98423
Gm13872	1.1873815	8853
Gm15498	1.1873494	5597
Med4	1.1872439	8496
Ifna5	1.1872	569
Gdnf	1.1871946	26564
Tubb1	1.1871693	7187
4731417B20Rik	1.187144	1626
Banf2	1.1871418	40920
Casz1	1.187112	150460
Egfl7	1.1870822	13106
Amelx	1.1870528	11086
Cotl1	1.1869175	31354
Rnf41	1.1869144	29822
Fam179a	1.186884	56408
Add3	1.1868541	106954
Derl3	1.1868374	2543
Ermap	1.1867373	14554
Gtpbp6	1.1867335	4222
Gm97	1.186678	14819
Lcn11	1.1866332	3262
Ccdc69	1.1865554	28400
Zcchc18	1.1865449	5317
Hace1	1.1864305	134516
Tbc1d4	1.1862996	166831
Cldn25	1.1862503	6341
Lrrc8d	1.1862028	132467
Hey2	1.1861941	10442
Snai3	1.1861827	6486
Kcnj6	1.18614	248430
Snw1	1.1861173	22363
1700128E19Rik	1.1859274	9356
Ehf	1.1859231	39845
Klra3	1.1859015	14285
H2-Oa	1.1858454	2894
Adam1b	1.1858102	2883
4632428C04Rik	1.1857646	12763
Usf1	1.1857473	7829
Acn9	1.1857156	85766
Inhbc	1.1855888	14216
Phlda2	1.1855539	996
Rev3l	1.1854929	143093
Casp14	1.1854099	6296
Itm2c	1.185393	14394
Mast3	1.1853862	18829
Syce1l	1.1853725	12320
Rxra	1.1852856	86517
Scn9a	1.185274	154872
Ythdf1	1.1852436	16572
Icam4	1.1852111	1158
Plxna3	1.1851966	15623
Zfp957	1.1851829	35016
Madd	1.1850938	46477
Trim10	1.1850294	8251
Pear1	1.1850191	76369
Gm3764	1.1848943	7375
Map3k7	1.1848686	59370
Krr1	1.184759	15768
Ftsj3	1.184728	6937
Shroom1	1.1846952	10561
Caskin2	1.1846133	14456
Zbtb7a	1.1845981	17775
Hlx	1.1845285	5479
Disp2	1.18446	31574
AB099516	1.1844296	8640
Clec4g	1.1843976	13587
Taf1	1.1843864	69055
Dock6	1.1843805	52451
2900005J15Rik	1.1843735	9126
Gm13999	1.1843637	2646
Mapk7	1.1843278	5594
Fbxw16	1.1843042	16821
Galr1	1.1842421	14281
Tmem60	1.1841663	4679
Kcnab2	1.1841156	87129
Bpifb1	1.1841048	29551
Adamts2	1.1840993	205489
Tipin	1.1840471	23185
Pgam2	1.1839589	2093
Dhx15	1.1839249	40310
Hoxa3	1.18383	44826
Prelid2	1.1838094	75498
Fam89b	1.1838057	1566
Dppa4	1.1838001	10557
A4gnt	1.1837378	9865
Npb	1.1836413	616
Ctu2	1.1835809	7995
Capn13	1.1835252	92832
Spns3	1.1835034	55587
Dnajc8	1.1834664	18192
Fscn3	1.1834207	10833
Stx6	1.1834188	44814
Krt81	1.1832857	4704
Asb6	1.1832565	7236
Nkx6-2	1.183223	3420
Med12l	1.1831932	311432
Mfsd11	1.1831176	23195
2410018M08Rik	1.1831106	7900
Zfp830	1.1829969	3277
Grap2	1.1829805	27054
Mgst2	1.182962	22315
Tspyl2	1.1829593	5573
Elovl5	1.1829562	67155
D630032N06Rik	1.182935	448
Lipe	1.1829212	19183
Ldhd	1.1826642	6589
2610037D02Rik	1.1825664	148789
Cyp2c29	1.1825185	89762
9230109A22Rik	1.1825064	11629
Ubfd1	1.1823819	15019
Ankrd9	1.1823351	3687
Plekhh1	1.1822765	52485
4930453O03Rik	1.1821514	5441
4930483J18Rik	1.1821474	1989
Slc22a7	1.1820623	6292
Itga4	1.1819897	77697
Cenpq	1.1819866	11996
Rnf13	1.1819335	99354
Psd4	1.1819245	41602
Hoxc9	1.1819042	8660
Mob2	1.1818819	52498
Dom3z	1.1817809	2214
Sbsn	1.1816199	4662
Hydin	1.1815898	343276
Specc1l	1.1815605	100326
Trpv4	1.1815447	36269
Patz1	1.1814344	20209
2610020H08Rik	1.1813936	54937
Tmem144	1.1813523	29514
4930403D09Rik	1.181349	8406
Prdm6	1.1813134	111361
Hsd17b6	1.1812863	9737
Srfbp1	1.1811892	25045
Pnmt	1.1811839	1731
Spp1	1.1811085	5932
Csn1s1	1.1810622	16349
Stard7	1.1810476	28716
Ksr1	1.1810277	132967
Krtap12-1	1.1809793	670
Crygb	1.1809675	2058
Ccl20	1.1809595	2401
AI854517	1.1809202	34280
D1Ertd622e	1.18082	18171
Sod3	1.1807578	7459
Fam19a3	1.1807187	14434
Fkbp6	1.1805936	58321
Hoxb3os	1.1804727	9210
5730507C01Rik	1.1804644	19453
Il20	1.1804317	4104
Egr2	1.1804222	6713
A930016O22Rik	1.1803975	2605
Cytl1	1.1803867	4301
Slc30a2	1.1803511	11303
4930443O20Rik	1.180313	12847
Trim32	1.1803	11252
Tmem45a	1.180279	81005
Dqx1	1.1802552	9366
4933412E24Rik	1.18025	1752
Hinfp	1.1802332	9998
Tnfaip2	1.1801643	12549
Slc25a41	1.1801444	8881
Ddx49	1.180134	9623
Cplx4	1.1801145	14451
Tgm3	1.1801047	38050
Zfp60	1.1800872	22313
Thsd7b	1.1800758	945976
Slc38a5	1.1800529	9046
Cr2	1.1800346	39904
Scrt1	1.1799542	5926
D730039F16Rik	1.1799264	17736
Arnt	1.1799132	62852
Wdr90	1.1799122	16730
Fndc8	1.1799004	8677
2010005H15Rik	1.1797918	4379
Eif2b2	1.1797763	7147
Aif1l	1.1797173	23182
Dcakd	1.1796687	34286
Slc3a2	1.1796445	16487
Espn	1.1794811	32040
Fpgs	1.1794561	21528
Gm14378	1.1794416	3209
Cyp4f39	1.1793793	24861
Lmod1	1.1793771	43258
Zfp932	1.1793656	13890
Hba-x	1.1792237	1716
Ptch2	1.1792109	20026
Vipr1	1.1791115	30238
8030453O22Rik	1.1790913	16973
Actl7b	1.1790181	1418
Stat3	1.1789626	54442
Psmg1	1.1789148	11027
Rpl7	1.1789006	3367
Cc2d1b	1.1788821	14183
Loxl1	1.1788052	25489
Pttg1	1.1788013	6001
Anxa8	1.1787786	14590
Vwa3a	1.178592	66185
4921523L03Rik	1.1785665	3972
Capn8	1.178543	67345
Hdc	1.1785287	25632
Sspo	1.1785203	53021
Med29	1.1785182	6562
Prnp	1.1784946	28501
Cxcr5	1.1783592	14633
Eya1	1.1783202	141246
4930556L07Rik	1.1783125	2400
1700039E15Rik	1.1782598	11485
Il2	1.1782534	5436
Zc3h12a	1.1782386	9417
1700003E16Rik	1.1781672	6571
Mc1r	1.1781497	3660
Abcd4	1.1780992	14935
Nkx2-5	1.1780638	2901
Serpinf2	1.1779333	7859
Tjap1	1.1778605	25137
Stt3a	1.1778293	36404
Tubb4a	1.1777161	7716
Tomm22	1.1775962	2001
Pqbp1	1.1774763	4750
Wbscr22	1.1774209	12002
Dbi	1.1773453	7798
Fam72a	1.1773038	11969
Nle1	1.1772848	7643
Tmem161a	1.1772559	11325
Ttll6	1.1772271	31665
Dusp13	1.1772034	17786
Hba-a1	1.177163	954
Stra13	1.177158	2796
Nphp3	1.1771393	41186
Ifngr1	1.1770847	18280
2510046G10Rik	1.177023	347
Ccr10	1.1770161	2446
Ninl	1.1769972	104863
Dvl1	1.1769967	11901
Tbx15	1.1768844	113878
Vps35	1.1768721	39116
Gm10044	1.176855	47588
1300002K09Rik	1.1768364	38344
Mmp10	1.1768218	7886
Lamp1	1.1767514	16203
Vmn2r1	1.1767341	23816
Mettl13	1.1767294	16424
Cbfa2t2	1.1767025	102875
Lrp2	1.176675	161725
Gmppb	1.1766326	3532
Nup210l	1.1766316	107885
Exoc7	1.1765629	19232
Casc4	1.1764885	69250
Ubxn11	1.1763643	25023
Gltscr2	1.1762855	8270
Myom3	1.1762441	55849
Mir682	1.1761595	95
Dao	1.1761352	21746
Cd209a	1.1759664	5589
Ccl28	1.1759367	31435
Ptcd3	1.1759155	28114
Zmat2	1.1758964	5737
Epha1	1.1758711	14781
Smg7	1.1758263	65650
Fam111a	1.1757977	44028
Guca1b	1.1757896	7574
4833418N02Rik	1.1757668	7928
Zbtb42	1.1756014	3919
Scoc	1.1755975	23898
Mab21l2	1.1755345	2702
Stk11	1.1755204	14879
Dlgap4	1.1754686	150658
Cdk9	1.1754124	7292
Thrap3	1.1753713	38678
4921530L18Rik	1.1753563	3602
Tcf7	1.1753389	30808
Cacybp	1.1752923	9852
Ipo9	1.175291	48187
Calml3	1.1752646	1425
8430436N08Rik	1.1752526	13113
Gm11267	1.1752118	2271
Commd6	1.1752021	6920
Speer4f	1.1751218	4838
Yif1b	1.1750981	9264
Srsf5	1.1750776	5003
Adra2b	1.1750448	4013
Haao	1.1749945	15434
Gm13242	1.1748778	189557
E330012B07Rik	1.1748748	28041
Slc26a3	1.1748302	83046
Tatdn2	1.1746898	14019
Chia	1.1746743	18891
Htra3	1.1746627	27749
Pmfbp1	1.174617	48615
Slc5a11	1.1746039	58473
Siglech	1.1745342	10747
Cyp4f18	1.1744999	21144
Mmp9	1.1744958	15070
2610303G11Rik	1.1744083	625
Glrx3	1.174347	30946
Naa40	1.1743124	15554
Clock	1.1743109	93825
Atoh1	1.174257	2087
Cox8c	1.1741569	1228
Fmr1	1.1740925	39422
Nobox	1.1740739	5888
Slfn1	1.1740521	5821
Fer1l4	1.1740134	33808
Apol6	1.1739981	12378
2210406O10Rik	1.173993	17242
Nphs2	1.1739672	17308
Foxl2	1.1739048	2519
Xpnpep2	1.173897	28256
Becn1	1.1737944	16334
Gm11190	1.1736665	17161
Top3b	1.1736422	22254
Btg2	1.1736416	3950
Cmklr1	1.1736252	38072
a	1.173623	259610
Plvap	1.1735806	14015
Gm16176	1.1735067	37004
Fam53a	1.1734799	29284
Srp54b	1.1734359	108717
Senp5	1.1733699	40781
Ccdc11	1.1733527	76896
Prmt7	1.1733465	41858
Ado	1.1733239	4443
Larp1b	1.1733066	27162
Evi5l	1.1732503	44690
4933409K07Rik	1.1731825	1709
B630005N14Rik	1.1731101	52289
1700036A12Rik	1.1731015	27155
Olfr78	1.1730938	18750
Galnt1	1.1730258	81474
Sqstm1	1.173012	11461
Bnip3l	1.1729566	23638
Ahnak	1.172954	87659
Foxl1	1.1728997	1089
Hcrt	1.1728952	1862
Bud31	1.1728909	7716
Baz2a	1.1728883	70313
Clec2h	1.1728852	14985
Ptchd3	1.1728588	13673
Tec	1.1727853	112765
Unc5cl	1.17276	84813
Hoxa13	1.1726438	3181
Slc10a6	1.1726329	23692
Slx4	1.1726078	24665
Xrcc2	1.1726034	16013
Tbc1d17	1.1725904	8178
Aipl1	1.1725658	9546
Rab40b	1.1724985	32130
Vps11	1.1723411	13564
Hmha1	1.172296	14819
Wisp3	1.172174	12823
U90926	1.1721503	5512
Prrxl1	1.172124	49838
Gfpt1	1.1721029	49351
Gpr20	1.1720414	12901
Plekhg6	1.1719668	18133
Arl15	1.1719477	362956
Utp15	1.1718946	16147
Rps6	1.1718576	2752
A730020M07Rik	1.1717424	6340
Atg2b	1.1717131	71702
Cntnap2	1.1716962	2241308
Snai1	1.1716815	4619
Troap	1.1715404	8777
Tnfaip3	1.1714418	14747
Ogn	1.1714215	16429
Sall4	1.1713856	19611
Jph2	1.1713458	61751
Klhl18	1.1712685	50767
Trak2	1.1711603	72981
Scrt2	1.1711566	14273
Plbd1	1.1710144	49858
Exosc2	1.1710111	10635
Mapk15	1.1710011	5383
Fuk	1.1709193	19996
Eno2	1.170908	9620
Arhgap9	1.1707417	7827
Med10	1.1706983	6212
6820431F20Rik	1.1706041	34933
Olfml3	1.1706	4301
Fcnb	1.1705819	8507
Serpina3g	1.1705576	5694
A930013B10Rik	1.1705471	3010
1700003F17Rik	1.1704692	18340
5730422E09Rik	1.1704534	64498
Traf3	1.1704215	100783
Egr4	1.1702876	2458
Fyn	1.1702725	196526
Nek8	1.1701965	10569
Sirpb1a	1.1700972	54864
Fam105b	1.1698667	24774
Krt14	1.1698476	4386
Gcm2	1.1698465	8561
Zfp788	1.1698388	18331
Fbxl6	1.1698303	3016
Mogat2	1.1697663	19535
Vmn2r26	1.1697619	37277
Gjc2	1.1696208	7647
Kif12	1.1695489	6497
Ppp6r2	1.1694931	33226
Top2a	1.1694313	31246
Bpifb9b	1.1692746	13419
3930402G23Rik	1.1691432	4030
Bank1	1.1691294	272703
Gpr25	1.1690348	1959
Zfp329	1.1688449	13881
Zfp444	1.1688095	19123
Cnksr1	1.168807	10358
Prom2	1.1687077	14994
Gemin7	1.1686982	8877
1700009N14Rik	1.1686976	1481
Crxos1	1.1686624	21413
Qprt	1.1686497	15112
4930417H01Rik	1.1686311	19409
Htra2	1.1685327	4007
Aspdh	1.1684833	2366
Ercc6l	1.1684226	15375
Mpnd	1.1682948	11079
Mrpl1	1.168282	57234
Cyp2b10	1.1682562	29004
Ilf2	1.1682297	12178
Krt32	1.1681627	7378
Cpt1c	1.168146	15441
Tmc8	1.1681417	11034
Ap1g2	1.1680769	8015
Myl3	1.1680765	6158
Nhsl1	1.1680748	143570
B4galt4	1.1680007	26785
Itgax	1.1679394	21110
Pgpep1l	1.1677952	27625
Chst13	1.1677212	16834
Krt42	1.1677072	6989
Slc35a4	1.1677002	4279
Defb1	1.1676718	18586
Gm12359	1.1676533	12380
Nip7	1.1676472	4049
C6	1.1675168	88281
4930503L19Rik	1.1674497	19340
Rad54l	1.1674163	29426
Agphd1	1.1673464	32641
Vsig10l	1.1672705	8762
Ninj1	1.1672451	8759
Acsl1	1.1672177	65010
Git1	1.1671531	14224
Kctd2	1.1671298	11148
Foxo4	1.1670865	6345
Gm15583	1.1670163	3509
Ccr1l1	1.1669092	1459
4933406J10Rik	1.1668547	12276
Plxdc1	1.1668452	63206
Prss39	1.1668109	4632
Gpaa1	1.1667889	3676
Tex21	1.1667634	48054
Stat1	1.1667466	42422
C2cd4c	1.16673	7161
Gm13012	1.1666732	1567
E330017L17Rik	1.1666673	13571
Lhb	1.1666536	3501
Pcsk1	1.1666095	42672
Six3	1.1665934	18205
Degs2	1.1665477	15514
Bmpr2	1.1663015	106222
Ckm	1.1662114	10489
4933421O10Rik	1.1661334	4181
Layn	1.1661077	22454
Gstm7	1.166085	5483
Gpr17	1.1660814	6639
Il17re	1.1660403	12267
Lmbr1l	1.1659042	14310
9230104L09Rik	1.1658846	18327
1700112M01Rik	1.1656847	7722
Rmnd5b	1.1656134	12225
